collection,id,old_uid,new_uid,user,start_date,year_month,created,changed
employment_histories,a0s8wcowqzj7hco,HL2607004,HL26010001,7zgadkco1qi6rb8,,2026-01,2026-07-18 06:42:05.203Z,true
employment_histories,edxw0hb2252h6ci,HL2607001,HL26060001,uiv0bjbth0h2nhx,,2026-06,2026-07-02 10:07:19.978Z,true
employment_histories,gwk8fdwybtbzcx7,HL26070009,HL26070001,m9ukni4c390eaa4,,2026-07,2026-07-27 08:17:16.201Z,true
employment_histories,06jmm3xf3nhw88r,HL2607003,HL26070002,7zgadkco1qi6rb8,,2026-07,2026-07-08 08:08:33.089Z,true
employment_histories,y4ygkod50aypj3p,HL26070005,HL26070003,7zgadkco1qi6rb8,,2026-07,2026-07-22 10:12:26.471Z,true
employment_histories,e6pfozcbvsseq6m,HL26070008,HL26070004,u7i50k0teemm3mb,,2026-07,2026-07-24 08:22:13.478Z,true
employment_histories,rt66a2z1fpcx2f0,HL26070010,HL26070005,m9ukni4c390eaa4,,2026-07,2026-07-30 07:05:26.241Z,true
employment_histories,3lpu9qlcm3a2xlo,HL26070006,HL26070006,e1e5az09dfop723,,2026-07,2026-07-24 08:08:13.882Z,false
employment_histories,132a2namvaawqlr,HL26070007,HL26070007,mcuithhgvxq1oer,,2026-07,2026-07-24 08:21:24.959Z,false
employment_histories,nd3twpu2ixxxqph,HL26070011,HL26070008,mcuithhgvxq1oer,,2026-07,2026-07-30 14:44:35.190Z,true
employment_histories,bk8rudo62ahfwe6,HL26080001,HL26080001,1ahxwxyhp7fll9i,,2026-08,2026-08-07 14:31:02.894Z,false
employment_histories,ev6aw2cmucph3ga,HL26080002,HL26080002,mtvfk5bviaew5vd,,2026-08,2026-08-13 11:50:44.685Z,false
employment_histories,uqthsfspb7kup8p,HL26080003,HL26080003,mtvfk5bviaew5vd,,2026-08,2026-08-13 11:59:51.353Z,false
employment_histories,5vpyqupf0o0z20d,HL26080004,HL26080004,k7ggk76o5tin1ov,,2026-08,2026-08-17 07:36:05.873Z,false
